影	picture/image/reflection/shadow	yǐng
报	to announce/to inform/report/newspaper/recompense/revenge	bào
管	to take care (of)/to control/to manage/to be in charge of/to look after/to run/tube/pipe	guǎn
斯	(phonetic)/this	sī
规	compass/rule	guī
设	to set up/to arrange/to establish/to found/to display	shè
百	hundred	bǎi
说	persuade (politically), to speak/to say	shuì/shuō
术	method/technique, Atractylis lancea var. ovata	shù/zhú
基	base/foundation/basic/radical (chem.)	jī
外	outside/in addition/foreign/external	wài
保	to defend/to protect/to insure or guarantee/to maintain/hold or keep/to guard	bǎo
质	hostage/substance/nature/quality	zhì
正	Chinese 1st month of year, just (right)/main/upright/straight/correct/principle	zhēng/zhèng
放	to release/to free/to let go/to put/to place/to let out	fàng
家	furniture/tool, -ist/-er/-ian/home/family/a person engaged in a certain art or profession	jiā
院	courtyard/institution	yuàn
代	substitute/replace/generation/dynasty/geological era/era/age/period	dài
好	good/well, be fond of	hǎo/hào
确	authenticated/solid/firm, authenticated/solid/firm/real/true	què
最	(the) most/-est	zuì
住	to live/to dwell/to reside/to stop	zhù
风	wind/news/style/custom/manner	fēng
单	chieftain, bill/list/form/single/only/sole, (surname)	chán/dān/shàn
边	side/edge/margin/border/boundary	biān
已	already/to stop/then/afterwards	yǐ
其	his/her/its/theirs/that/such/it (refers to sth preceding it)	qí
望	hope/expect/to visit/to gaze (into the distance)/look towards/towards	wàng
二	two/2	èr
物	thing/object/matter	wù
济	aid/ferry/frugal	jì
证	prove, confirm, verify/proof, certificate/proof/to prove/to demonstrate/to confirm/certificate/proof	zhèng
等	class/rank/grade/equal to/same as/wait for/await/et cetera/and so on	děng
度	capacity/degree/standard	dù
平	flat/level/equal/to make the same score/to tie/to draw/calm/peaceful	píng
方	square/quadrilateral/direction/just	fāng
第	(prefix before a number, for ordering numbers, e.g. "first", "number two", etc)	dì
可	can/may/able to/certain(ly)/to suit/(particle used for emphasis)	kě
进	advance/enter/to come in	jìn
服	clothes/dress/garment/submit/take (medicine)	fú
王	king/Wang (proper name)	wáng
议	criticize/discuss	yì
组	to form/compose/make up/group/to organize/cord	zǔ
成	finish/complete/accomplish/become/turn into/win/succeed/one tenth, finish/complete/accomplish/become/turn into/win/succeed/one tenth	chéng/chèng
使	to make/to cause/to enable/to use/to employ/messenger	shǐ
远	far/distant/remote	yuǎn
别	leave/depart/separate/distinguish/classify/other/another/do not/must not/to pin, contrary/difficult/awkward	bié/biè
种	kind/type/race/breed/seed/species (taxonomy), to plant/to cultivate	zhǒng/zhòng
司	company/control	sī
三	three/3	sān
系	be/connection/relation/tie up/bind, be/system/to tie/department/faculty, connect/to tie	xì
记	to remember/to note/mark/sign/to record	jì
城	city walls/city/town	chéng
入	to enter	rù
比	(particle used for comparison and "-er than")/to compare/to contrast/to gesture (with hands)/ratio, associate with/be near	bǐ/bì
今	today/modern/present/current/this/now	jīn
水	water/river	shuǐ
话	dialect/language/spoken words/speech/talk/words/conversation/what someone said	huà
政	political/politics/government	zhèng
太	highest/greatest/too (much)/very/extremely	tài
求	to seek/to look for/to request/to demand/to beseech	qiú
候	wait	hòu
及	to reach/and	jí
处	to reside/to live/to dwell/to be in/to stay/get along with/to be in a position of/deal with, a place/location/spot/point/office/department/bureau/respect	chǔ/chù
西	west	xī
兵	soldiers/a force/an army/weapons/arms/military/warlike	bīng
看	to look after/to take care of/to watch/to guard, it depends/think/to see/to look at	kān/kàn
文	language/culture/writing/formal/literary	wén
以	to use/according to/so as to/in order to/by/with/because/Israel (abbrev.)	yǐ
员	person/employee/member	yuán
张	(a measure word)/(a surname)/open up	zhāng
然	correct/right/so/thus/like this/-ly	rán
条	measure word for long, thin things (i.e. ribbon, river, etc.)/a strip/item/article	tiáo
世	life/age/generation/era/world/lifetime	shì
件	a measure word for thing, clothes, item	jiàn
感	to feel/to move/to touch/to affect	gǎn
区	Ou (surname), area/region/district/small/distinguish	ōu/qū
山	mountain/hill	shān
师	a division (milit.)/teacher/master/expert/model	shī
传	to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography	chuán/zhuàn
做	to do/to make/to produce	zuò
士	scholar/warrior/knight	shì
教	teach, religion/teaching	jiāo/jiào
言	to speak/to say/talk/word	yán
情	feeling/emotion/passion/situation	qíng
立	set up/to stand	lì
作	to regard as/to take (somebody) for/to do/to make	zuò
心	heart/mind	xīn
具	tool/device/utensil/equipment/instrument	jù
之	(literary equivalent of 的)/(subor. part.)/him/her/it	zhī
且	further/moreover	qiě
认	to recognize/to know/to admit	rèn
用	to use	yòng
发	to send out/to show (one's feeling)/to issue/to develop, hair	fā/fà
更	to change, more/even more/further/still/still more	gēng/gèng
白	white/snowy/empty/blank/bright/clear/plain/pure/gratuitous	bái
爱	to love/affection/to be fond of/to like	ài
何	carry/what/how/why/which	hé
回	(a measure word for matters or actions) a time/to circle/to go back/to turn around/to answer/to return/to revolve/Islam	huí
将	(will, shall, "future tense")/ready/prepared/to get/to use, a general	jiāng/jiàng
林	woods/forest	lín
联	to ally/to unite/to join	lián
主	to own/to host/master/lord/primary	zhǔ
五	five/5	wǔ
于	(surname), in/at/to/from/by/than/out of	yú
问	to ask	wèn
亲	dear/intimate/parent/relation/closely related, parents-in-law of one's offspring	qīn/qìng
明	clear/bright/to understand/next/the Ming dynasty	míng
市	market/city	shì
个	(a measure word)/individual	gè
十	ten/10	shí
改	to change/to alter/to transform/to correct	gǎi
气	air/anger/gas, gas/air/smell/weather/vital breath/to make sb. angry/to get angry/to be enraged	qì
各	each/every	gè
算	regard as/to figure/to calculate/to compute	suàn
达	attain/pass through/achieve/reach/realize/clear/inform/notify/dignity	dá
切	to cut/to slice, close to	qiē/qiè
你	you	nǐ
加	to add/plus	jiā
式	type/form/pattern/style	shì
快	fast/quick/swift	kuài
布	diffuse/extend/notify, to declare/to announce/to spread/to make known/spread/(cotton) cloth	bù
社	society/group	shè
像	(look) like/similar (to)/appearance/to appear/to seem/image/portrait/resemble/seem	xiàng
令	make or cause to be/order/command/decree/honorable	lìng
地	(subor. part. adverbial)/-ly, earth/ground/field/place/land	de/dì
理	reason/logic/science/inner principle or structure	lǐ
公	just/honorable (designation)/public/common	gōng
常	always/ever/often/frequently/common/general/constant	cháng
权	authority/power/right	quán
流	to flow/to spread/to circulate/to move	liú
失	to lose/to miss/to fail	shī
才	ability/talent/endowment/gift/an expert/only (then)/only if/just, just/not until	cái
老	(a prefix used before the surname of a person or a numeral indicating the order of birth of the children in a family to indicate affection or familiarity)/old (of people)	lǎo
英	(surname)/English/brave	yīng
得	obtain/get/gain/proper/suitable/proud/contented/allow/permit/ready/finished, a sentence particle used after a verb to show effect/degree or possibility, to have to/must/ought to/to need to	dé/de/děi
造	to make/to build/to invent/to manufacture	zào
工	work/worker/skill/profession/trade/craft/labor	gōng
年	year	nián
中	within/among/in/middle/center/while (doing sth)/during/China/Chinese, hit (the mark)	zhōng/zhòng
题	topic/subject/to inscribe/to superscribe	tí
法	law/method/way/Buddhist teaching/Legalist/France (abbrev.)	fǎ
又	(once) again/also/both... and.../again	yòu
带	band/belt/girdle/ribbon/area/zone/region/wear/carry/lead/bring/consists of/show/and	dài
取	to take/to get/to choose/to fetch	qǔ
解	to separate/to divide/to break up/to loosen/to explain/to untie/to emancipate, transport under guard, (surname)	jiě/jiè/xiè
义	justice/righteousness/meaning	yì
提	carry (suspended), to carry/to lift/to put forward/(upwards character stroke)/lifting (brush stroke in painting)/to mention	dī/tí
界	boundary/scope/extent/circles/group/kingdom (taxonomy)	jiè
真	real/true/genuine	zhēn
任	to assign/to appoint/office/responsibility	rèn
量	to measure, capacity/quantity/amount/to estimate	liáng/liàng
能	can/may/capable/energy/able	néng
书	book/letter	shū
应	ought, (surname)/to answer/to respond	yīng/yìng
就	at once/then/right away/only/(emphasis)/to approach/to move towards/to undertake	jiù
当	to be/to act as/manage/withstand/when/during/ought/should/match equally/equal/same/obstruct/just at (a time or place)/on the spot/right/just at, at or in the very same.../to pawn/suitable/adequate/fitting/proper/replace/represent	dāng/dàng
品	conduct/grade/thing/product/good	pǐn
次	nth/number (of times)/order/sequence/next/second(ary)/(measure word)	cì
没	(negative prefix for verbs)/have not/not, drowned/to end/to die/to inundate	méi/mò
现	appear/present/now/existing/current	xiàn
国	country/state/nation	guó
接	to extend/to connect/to receive/to join	jiē
该	that/the above-mentioned/most likely/to deserve/should/ought to/owe	gāi
四	four/4	sì
车	car/a vehicle/machine/to shape with a lathe, vehicle on land	chē/jū
学	learn/study/science/-ology	xué
在	(located) at/in/exist	zài
都	all/both (if two things are involved)/entirely (due to)each/even/already, (surname)/metropolis/capital city	dōu/dū
并	and/furthermore/(not) at all/simultaneously/also/together with/to combine/to join/to merge, amalgamate/combine, and/also/together with	bìng
路	(surname)/road/path/way	lù
死	to die/inpassable/uncrossable/inflexible/rigid	sǐ
的	(possessive particle)/of, really and truly, aim/clear	de/dí/dì
观	to look at/to watch/to observe/to behold, Taoist monastery	guān/guàn
自	from/self/oneself/since	zì
即	namely/right away/to approach/to draw near	jí
收	to receive/to accept/to collect/in care of (used on address line after name)	shōu
表	surface/exterior/to watch/to show/express/an example/a list or table/a meter/a watch/chart/external	biǎo
象	shape/form/appearance/elephant/image under a map (math.)	xiàng
夫	porter, husband/man	fū
根	radical (chem.)/root/basis	gēn
新	meso- (chem.)/new/newly	xīn
转	to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about	zhuǎn/zhuàn
声	sound/voice/(a measure word, used for sounds)/tone/noise	shēng
难	difficult (to...)/problem/difficulty/difficult/not good, disaster/distress/to scold	nán/nàn
被	by (marker for passive-voice sentences or clauses)/quilt/blanket/to cover/to wear	bèi
战	to fight/fight/war/battle	zhàn
调	mode (music)/to move (troops)/tune/tone/melody/to transfer, harmonize/reconcile/blend/suit well/provoke/incite	diào/tiáo
打	dozen, beat/strike/break/mix up/build/fight/fetch/make/tie up/issue/shoot/calculate/since/from	dá/dǎ
深	deep/profound	shēn
如	as (if)/such as	rú
两	both/two/ounce/some/a few/tael	liǎng
去	to go/to leave/to remove	qù
只	earth-spirit/peace, (a measure word, for birds and some animals, etc.)/single/only, M for one of a pair, only/merely/just/but, but/only	qí/zhī/zhǐ
领	neck/collar/to lead/to receive	lǐng
形	to appear/to look/form/shape	xíng
运	to move/to transport/to use/to apply/fortune/luck/fate	yùn
特	special/unusual/extraordinary, male animal/special (-ly)	té/tè
天	day/sky/heaven	tiān
女	female/woman	nǚ/nǚ
小	small/tiny/few/young	xiǎo
但	but/yet/however/only/merely/still	dàn
德	Germany/virtue/goodness/morality/ethics/kindness/favor/character/kind	dé
到	to (a place)/until (a time)/up to/to go/to arrive	dào
集	to gather/to collect/collected works	jí
儿	son, non-syllabic dimi. suff.	ér/er
有	to have/there is/there are/to exist/to be	yǒu
行	a row/profession/professional, all right/capable/competent/OK/okay/to go/to do/to travel/temporary/to walk/to go/will do, behavior/conduct	háng/xíng/xìng
实	real/true/honest/really/solid	shí
所	actually/place	suǒ
价	price/value/valence (on an atom), great/good/middleman/servant	jià/jie
还	also/in addition/more/still/else/still/yet/(not) yet, (surname)/pay back/return	hái/huán/huàn
把	(a measure word)/(marker for direct-object)/to hold/to contain/to grasp/to take hold of, handle	bǎ/bà
光	light/ray/bright	guāng
利	advantage/benefit/profit/sharp	lì
花	flower/blossom/to spend (money, time)/fancy pattern	huā
性	sex/nature/surname/suffix corresponding to -ness or -ity	xìng
她	she	tā
眼	eye	yǎn
什	what, tenth (used in fractions)	shén/shí
动	to use/to act/to move/to change	dòng
字	letter/symbol/character/word	zì
强	strength/force/power/powerful/better	qiáng
计	to calculate/to compute/to count/reckon/ruse/to plan	jì
活	to live/alive/living/work/workmanship	huó
备	to prepare/get ready/to provide or equip	bèi
队	squadron/team/group	duì
机	machine/opportunity/secret	jī
电	electric/electricity/electrical	diàn
了	(modal particle intensifying preceding clause)/(completed action marker), to know/to understand/to know, clear, look afar from a high place	le/liǎo/liào
据	sickness of hand, act in accordance with/seize, according to/to act in accordance with/to depend on/to seize/to occupy	jū/jù
长	length/long/forever/always/constantly, chief/head/elder/to grow/to develop	cháng/zhǎng
海	ocean/sea	hǎi
一	one/1/single/a(n)	yī
拉	to pull/to play (string instruments)/to drag/to draw	lā
叫	to (be) call(ed)	jiào
是	is/are/am/yes/to be	shì
面	fade/side/surface/aspect/top/face/flour/noodles, flour/noodles	miàn
出	to go out/to come out/to occur/to produce/to go beyond/to rise/to put forth/to occur/to happen/(a measure word for dramas, plays, or operas)	chū
着	catch/receive/suffer, part. indicates the successful result of a verb/to touch/to come in contact with/to feel/to be affected by/to catch fire/to fall asleep/to burn, -ing part. (indicates an action in progress)/part. coverb-forming after some verbs, to make known/to show/to prove/to write/book/outstanding, to wear (clothes)/to contact/to use/to apply	zhāo/zháo/zhe/zhù/zhuó
产	to reproduce/to produce/give birth/products/produce/resources/estate/property	chǎn
展	to use/to spread out/to postpone/to unfold	zhǎn
力	power/force/strength	lì
意	idea/meaning/wish/desire/(abbr.) Italy	yì
总	always/to assemble/gather/total/overall/head/chief/general/in every case	zǒng
罗	fussy/talkative, subordinate in a gang of bandits, (surname)/gauze/to collect/to gather/to catch/to shift	luō/luó
马	horse/horse chess piece/Surname	mǎ
位	position/location/(measure word for persons)/place/seat	wèi
至	arrive/most/to/until	zhì
石	10 pecks, rock/stone	dàn/shí
要	demand/ask/request/coerce, important/vital/to want/to be going to/must	yāo/yào
业	business/occupation/study	yè
却	but/yet/however/while/to go back/to decline/to retreat/nevertheless	què
觉	a nap/a sleep, feel/find that/thinking/awake/aware	jiào/jué
过	(experienced action marker)/to cross/to go over/to pass (time)/to celebrate (a holiday)/to live/to get along/(surname)/excessively/too-	guò
需	to require/to need/to want/necessity/need	xū
治	to rule/to govern/to manage/to control/to harness (a river)/cure/treatment/to heal	zhì
笑	laugh/smile	xiào
必	certainly/must/will/necessarily	bì
变	to change/to become different/to transform/to vary/rebellion	biàn
信	letter/true/to believe/sign/evidence	xìn
起	to rise/to raise/to get up	qǐ
每	each/every	měi
持	to grasp/to hold/support/manage/direct/maintain	chí
务	affair/business/matter	wù
干	dry/to concern/shield, to work/to do/to manage, manage/stem	gān/gàn
不	(negative prefix)/not/no	bù/bú
很	very/extremely	hěn
导	to transmit/to lead/to guide/to conduct/to direct	dǎo
原	former/original/primary/raw/level/cause/source	yuán
日	Japan/day/sun/date/day of the month	rì
共	all together/in while/to share/common/general/together	gòng
他	he/him	tā
直	straight/vertical/frank/directly/straightly/upright	zhí
无	-less/not to have/no/none/not/to lack/un-	wú
名	name/(measure word for persons)/place (e.g. among winners)	míng
开	open/operate (vehicle)/start	kāi
整	exactly/in good order/whole/complete/entire/in order/orderly	zhěng
时	o'clock/time/when/hour/season/period	shí
存	exist/deposit/store/keep/survive	cún
手	hand/convenient	shǒu
由	follow/from/it is for...to/reason/cause/because of/due to/by/to/to leave it (to sb)	yóu
南	south	nán
这	this/these, this/these/(sometimes used before a measure word, especially in Beijing)	zhè/zhèi
头	head, suff. for nouns	tóu/tou
格	frame/rule	gé
或	maybe/perhaps/might/possibly/or	huò
化	to make into/to change into/-ization/to ... -ize/to transform	huà
向	direction/part/side/towards/to/guide/opposite to, guide/opposite to	xiàng
交	to deliver/to turn over/to make friends/to intersect (lines)/to pay (money)	jiāo
门	opening/door/gate/doorway/gateway/valve/switch/way to do something/knack/family/house/(religious) sect/school (of thought)/class/category/phylum or division (taxonomy)	mén
革	leather/remove	gé
尼	Buddhist nun/(often used in phonetic spellings)	ní
终	end/finish	zhōng
朝	to face/towards/facing/direct/a dynasty/the imperial court/(abbr.) Korea, esp. N. Korea, morning	cháo/zhāo
速	fast/rapid/quick	sù
演	to develop/to evolve/to practice/to perform/to play/to act	yǎn
病	ailment/sickness/illness/disease/fall ill/sick/defect	bìng
永	forever/always/perpetual (ly)	yǒng
概	general/approximate	gài
找	to try to find/to look for/to call on (sb)/to find/to seek/to return/to look for	zhǎo
欧	Europe	ōu
岁	year/years old/(a measure word)	suì
敢	dare	gǎn
究	after all/to investigate/to study carefully	jiū
续	continue/replenish	xù
底	(possessive part.)/(subor. part.), background/bottom/base	de/dǐ
犯	to violate/to offend	fàn
官	official/government	guān
环	bracelet/ring (not for finger)/to surround/to loop/loop	huán
周	(surname)/complete/encircle/circuit/lap/week/cycle/all/every/attentive/thoughtful, bestow alms, cycle/week	zhōu
纪	discipline/age/era/period/order/record	jì
念	read aloud, to read aloud	niàn
陆	six (fraud-proof), (surname)/shore/land/continent	liù/lù
临	to face/to overlook/to arrive/to be (just) about to/just before	lín
依	according to/depend on/near to	yī
闻	(surname)/hear/sniff at	wén
弟	younger brother	dì
占	to observe/to divine, to divine, to occupy/to constitute/to make up/to account	zhān/zhàn
球	ball/sphere	qiú
超	to exceed/overtake/surpass/transcend/ultra-/super-/to pass/to cross	chāo
农	agriculture	nóng
值	value/(to be) worth/to happen	zhí
采	to pick/to pluck/to collect/to select/to choose/to gather, affairs/gather, allotment to a feudal noble	cǎi/cài
毛	hair/pore/fur	máo
协	cooperate/harmonize/to help/to assist/to join	xié
句	(a measure word, for sentences or lines of verse)/sentence	jù
配	to join/to fit/to mate/to mix/to match/to deserve/to make up (a prescription)	pèi
洋	foreign/ocean	yáng
序	order/sequence/preface	xù
参	take part in/participate/join/attend/to join/unequal/varied/irregular/to counsel/uneven/not uniform, ginseng	cān/shēn
卫	to guard/to protect/to defend/(surname)	wèi
李	(a surname)/plum	lǐ
著		zhù/zhe
核	nuclear/atomic/stone (of fruit)	hé
致	fine and close, to send/to devote/to deliver/to cause/to convey	zhì
灵	alert/departed soul/efficacious/quick/effective/intelligence	líng
款	section/paragraph/funds	kuǎn
星	star/satellite/small amount	xīng
血	blood, blood	xiě/xuè
型	model	xíng
诉	complain/sue/tell	sù
消	consume/news/subside/to disappear/to vanish	xiāo
众	multitude	zhòng
刘	(surname)/to kill	liú
京	capital/Beijing (abbrev.)	jīng
竟	unexpectedly/actually/to go so far as to/indeed	jìng
露	to show/to reveal/to expos/dew	lù/lòu
户	a household/door/family	hù
约	weigh, appointment/agreement/to arrange/to restrict/approximately	yāo/yuē
段	(surname)/paragraph/section/segment	duàn
绝	cut short/extinct/to disappear/to vanish/absolutely/by no means	jué
烈	ardent/intense/split/crack/rend	liè
费	to cost/to spend/fee/wasteful/expenses/(surname)	fèi
语	dialect/language/speech, tell to	yǔ/yù
久	(long) time/(long) duration of time	jiǔ
阵	disposition of troops/short period/wave/spate/burst/spell	zhèn
送	to deliver/to carry/to give (as a present)/to present (with)/to see off/to send	sòng
顿	a time/jerk/stop/meal/bout/spell/(measure for beating)	dùn
构	Broussonetia papyrifera/to construct/to form/to make up/to compose	gòu
苦	bitter/intensely/miserable/painful	kǔ
早	early/morning	zǎo
挥	scatter/wield/wipe away	huī
脑	brain	nǎo
标	the topmost branches of a tree/surface/sign/to mark/(outward) sign/indication/prize/award/bid	biāo
例	example/precedent/rule/case/instance	lì
待	stay/delay, wait/treat/deal with/need/about/intending to do something	dāi/dài
状	accusation/suit/state/condition/strong/great	zhuàng
较	clear/distinct/compare/comparatively	jiào
站	station/to stand/to halt/to stop	zhàn
岛	island	dǎo
钱	(surname)/coin/money	qián
负	lose/negative (math. etc.)/to bear/to carry (on one's back)	fù
米	(measure word) meter/rice	mǐ
营	army/to deal in/to trade/to operate/to run/camp/nourishment/to manage	yíng
族	race/nationality/ethnicity/clan	zú
考	to check/to verify/to test/to examine	kǎo
源	root/source/origin	yuán
洲	continent/island	zhōu
按	to press (with the hand)/to push/to control/to restrain/to check/pressing down (brush movement in painting)/according to/in the light of	àn
层	a measure word for layers/laminated/repeated/floor/story (of a building)/layer/(math.) sheaf	céng
威	power/might/prestige	wēi
木	tree/wood	mù
热	heat/to heat up/fervent/hot (of weather)/warm up	rè
越	to exceed/to climb over/to surpass/the more ... the more	yuè
财	money/wealth/riches/property/valuables	cái
执	execute (a plan)/grasp	zhí
案	(legal) case/incident/record/file/table	àn
拿	to hold/to seize/to catch/to apprehend/to take	ná
急	hurried/worried	jí
母	female/mother	mǔ
章	(surname)/chapter/seal/section	zhāng
宝	a jewel or gem/a treasure/precious	bǎo
伤	injure/injury/wound	shāng
止	to stop/toe	zhǐ
投	to throw/to send	tóu
素	plain/element	sù
息	news/interest/breath/rest	xī
首	head/chief/first (occasion)/first (thing)/measure word for poems	shǒu
宣	to declare (publicly)/to announce	xuān
轻	light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft	qīng
初	at first/(at the) beginning/first/junior/basic	chū
货	goods/money/commodity	huò
效	imitate, effect/efficacy/imitate	xiào
显	prominent/conspicuous	xiǎn
答	to answer/agree, reply/answer/return/respond/echo	dā/dá
